stage,group,strategy,decode_ns,lifecycle_ns,paired_percent,ci95_low,ci95_high,lifecycle_percent
exploratory,200M,baseline,628498.6424242425,767743.696969697,0.0,0.0,0.0,0.0
exploratory,200M,manual,641879.3606060606,780343.7363636363,2.1291776206883486,1.6712051855961025,2.5871500557805946,1.6444662693418912
exploratory,200M,count,665551.103030303,815315.7242424242,5.896383781116093,5.616304842369161,6.176462719863025,6.200415348197812
exploratory,200M,estimate,657027.8939393939,819512.4030303031,4.540892254593985,3.93142591150913,5.15035859767884,6.7457603217211215
exploratory,200M,hybrid256,657727.7090909091,794851.6484848484,4.652013243593381,4.290575023715322,5.013451463471441,3.5337162287554498
exploratory,200M,bounded,658091.5212121212,801050.7272727273,4.709575363667021,4.193828253602952,5.22532247373109,4.343099708376484
exploratory,200M,native,632836.9636363636,771481.3757575757,0.6914789939927638,0.4252648081088272,0.9576931798767003,0.49144162486713333
exploratory,200M,u256,634351.1303030304,775837.8515151516,0.9329871072064582,0.5543731403246902,1.3116010740882262,1.0579407782940127
exploratory,200M,integers,634321.3454545455,776506.8818181818,0.9282558969561842,0.4726367952994075,1.3838749986129608,1.1468823372648953
exploratory,200M,count_int,659148.4666666667,807207.2787878788,4.879355321266671,4.3701263767878515,5.388584265745491,5.1447767634078145
exploratory,200M,estimate_int,643097.6606060606,807162.8909090909,2.3252022443059968,1.654208907320707,2.9961955812912864,5.138640959947403
exploratory,200M,hybrid_int,649758.4696969697,787503.8757575757,3.384715308738596,3.00672991645741,3.762700701019782,2.5804704548980895
exploratory,300M,baseline,876626.1181818182,1070630.0636363637,0.0,0.0,0.0,0.0
exploratory,300M,manual,894711.0303030303,1093296.9545454546,2.065930165891589,1.5516219459780087,2.5802383858051696,2.1198251724852204
exploratory,300M,count,928787.7909090909,1141250.1484848484,5.954446525379569,5.11269497328991,6.796198077469228,6.598877404704868
exploratory,300M,estimate,915946.5454545454,1143949.6848484848,4.488751452606064,3.872519757488816,5.1049831477233125,6.8529147640966945
exploratory,300M,hybrid256,912903.8242424242,1102109.7696969698,4.141869860071039,3.529391334691738,4.75434838545034,2.945026473072144
exploratory,300M,bounded,913038.0363636364,1115732.2,4.156173355078444,3.760326877685877,4.552019832471011,4.216863441427312
exploratory,300M,native,883982.3181818182,1080861.5333333332,0.8405609386551438,0.34225384733430236,1.3388680299759852,0.9595668337591189
exploratory,300M,u256,887571.7424242424,1085022.7606060605,1.2511349811212764,0.8487929721171423,1.6534769901254105,1.3470915111472328
exploratory,300M,integers,888079.1696969697,1087250.9393939395,1.3090515652096968,0.8993460071327495,1.718757123286644,1.5546351381930077
exploratory,300M,count_int,916871.7303030303,1130686.3181818181,4.595290558132099,3.8956632051170565,5.294917911147142,5.613387273783542
exploratory,300M,estimate_int,897619.7818181819,1126700.3575757577,2.397176748640361,1.8788094205770465,2.915544076703675,5.236089928330839
exploratory,300M,hybrid_int,903834.3848484849,1096280.4393939395,3.1044043170851126,2.6173163424549513,3.591492291715274,2.39804314312555
followup,200M,baseline,620527.4848484849,760606.5424242425,0.0,0.0,0.0,0.0
followup,200M,singleton,660400.5393939394,815482.7848484848,6.426498988610617,6.198748278676405,6.654249698544829,7.216449610230259
followup,200M,adaptive,652335.3787878788,812515.4515151515,5.126371892194654,4.855851905023378,5.3968918793659295,6.8269138772988125
followup,200M,native,591522.3545454545,730185.5787878789,-4.674251431368452,-5.022967907062582,-4.325534955674322,-3.997946359078066
followup,200M,u256,634826.4575757576,776141.5454545454,2.3050252849735124,2.1019634885328697,2.508087081414155,2.0445694571979978
followup,300M,baseline,867435.6878787879,1060886.284848485,0.0,0.0,0.0,0.0
followup,300M,singleton,926428.6,1146804.2363636363,6.802988459237718,6.1960654698567925,7.409911448618644,8.101233483113441
followup,300M,adaptive,907378.6090909091,1130078.3515151516,4.606773090736398,4.229123464251318,4.984422717221479,6.523160331651513
followup,300M,native,821752.2121212122,1015658.0878787879,-5.2640755233659755,-5.688125642177759,-4.840025404554192,-4.261119796903966
followup,300M,u256,888515.5333333333,1083971.4575757575,2.431816993240621,2.0455071428981593,2.8181268435830824,2.177458412971072
shared-match,200M,baseline,614598.7088888888,761291.0444444445,0.0,0.0,0.0,0.0
shared-match,200M,candidate,615063.8777777777,762348.0466666666,0.10783956862744211,-1.3290614853122376,1.5447406225671216,0.17743801295629472
shared-match,300M,baseline,860653.3422222222,1060295.9266666668,0.0,0.0,0.0,0.0
shared-match,300M,candidate,860959.5888888888,1060416.9022222222,0.06919245315043436,-1.414482978834819,1.5528678851356879,0.04787990744850408
shared-rest,200M,baseline,609799.5,755302.5666666667,0.0,0.0,0.0,0.0
shared-rest,200M,rest,605308.9422222222,753805.9555555555,-0.7173580540069557,-1.8279536040709323,0.39323749605702085,-0.1763927178578214
shared-rest,300M,baseline,859515.0777777778,1057865.2466666666,0.0,0.0,0.0,0.0
shared-rest,300M,rest,849479.4422222222,1049389.5755555555,-1.1521974172961547,-2.014411388679161,-0.2899834459131486,-0.7860276384057071
shared-header,200M,baseline,613063.6911111111,759538.8,0.0,0.0,0.0,0.0
shared-header,200M,header,623743.1266666667,772645.5977777778,1.7812633634214008,-0.6293000781563547,4.191826804999156,1.769469252617118
shared-header,300M,baseline,860334.7022222222,1057583.74,0.0,0.0,0.0,0.0
shared-header,300M,header,879557.4488888889,1076016.46,2.256736763591373,0.315456606128774,4.198016921053972,1.768162227925713
